PDB_ID,Chain,CATH,N,Fmax_[e/A],Dmax_[A],Lmax_[A],lambda
2gzw,A,1.10.10.10,200,1.29,486.41,466,0.62
1z1d,A,1.10.10.10,69,1.02,65.12,68.25,0.22
1x3u,A,1.10.10.10,79,1.02,36.09,20.75,0.03
1v3f,A,1.10.10.10,120,1.17,117.16,98.5,0.2
1nha,A,1.10.10.10,67,0.9,43.03,28,0.07
1ka8,A,1.10.10.10,100,1.44,91.72,90,0.18
1fx7,A,1.10.10.10,230,1.95,78.91,63.25,0.04
1f9n,A,1.10.10.10,147,1.02,366.28,336.25,0.63
1ucr,A,1.10.10.10,74,1.1,61.66,47.25,0.13
2hgc,A,1.10.10.10,78,0.9,133.04,130,0.42
1d5v,A,1.10.10.10,94,0.9,98.01,53.75,0.14
1onv,A,1.10.10.10,67,0.9,48.22,32.5,0.09
1aoy,A,1.10.10.10,78,0.9,80.75,72.75,0.22
2yx4,A,1.10.10.10,149,1,426.02,427.75,0.75
1zn2,A,1.10.10.10,198,1.56,459.77,454,0.6
1r7j,A,1.10.10.10,90,1.23,158.41,143.75,0.41
2f5f,A,1.10.10.10,133,0.98,103.79,80.25,0.14
1b4a,A,1.10.10.10,146,1.11,365.38,349,0.64
1s8n,A,1.10.10.10,190,1.73,479.43,474.25,0.65
2f5c,A,1.10.10.10,140,1.03,127.28,100.5,0.17
1jhf,A,1.10.10.10,197,1.23,470.09,455,0.61
2pmh,A,1.10.10.10,150,1.07,443.72,444,0.78
1r1v,A,1.10.10.10,95,1.18,160.6,140.5,0.39
1e17,A,1.10.10.10,90,0.88,87.26,73.25,0.19
1mkm,A,1.10.10.10,246,1.36,400.51,391,0.41
2a3s,A,1.10.10.10,101,1.23,114.18,114.25,0.26
1r36,A,1.10.10.10,140,1.54,52.05,44.25,0.04
1s7o,A,1.10.10.10,106,1.02,175.38,164.75,0.4
1tty,A,1.10.10.10,87,0.76,258.57,233.75,0.77
1ust,A,1.10.10.10,92,1.18,104.64,88.5,0.22
2dt5,A,1.10.10.10,210,2.1,547.81,554.75,0.68
1on2,A,1.10.10.10,135,1,325.87,296,0.61
2efo,A,1.10.10.10,150,1.37,328.85,332.75,0.57
